run,epoch,updates,trainCrossEntropy,devScore,rawExactBoards,reliableExactBoards,confidentWrongBoards,occupiedCorrect,occupied
real-only,36,756,0.0023150694157396045,0.26403352984813794,16,15,1,548,577
real-only,37,777,0.002399411407254991,0.26433585289879163,16,15,1,548,577
real-only,38,798,0.0024183321566808792,0.2646138778638068,16,15,1,548,577
real-only,39,819,0.0023174528919515155,0.2648379158098788,16,15,1,548,577
real-only,40,840,0.002368715015195665,0.26507757860403774,16,15,1,548,577
degraded,1,21,0.12010015760149274,0.2148179221772947,15,14,1,553,577
degraded,2,42,0.07187944366818383,0.21286776637694296,15,14,1,552,577
degraded,3,63,0.0702477807090396,0.21409160041142827,15,14,1,553,577
degraded,4,84,0.054255127906799316,0.21803727791680452,15,14,1,553,577
degraded,5,105,0.04012772866657802,0.22089970514823037,15,14,1,553,577
degraded,6,126,0.03860055264972505,0.2228494975492,15,14,1,552,577
degraded,7,147,0.025468846162160236,0.22518535554319477,15,14,1,552,577
degraded,8,168,0.026817435310000463,0.2282564377036089,15,14,1,552,577
degraded,9,189,0.0209939820425851,0.23087754879424421,15,14,1,552,577
degraded,10,210,0.026539987041836695,0.23384539341965976,15,14,1,551,577
degraded,11,231,0.016829743271782285,0.23722240141852616,15,14,1,551,577
degraded,12,252,0.017935324282873245,0.24003852055802083,15,14,1,551,577
degraded,13,273,0.017580902292614893,0.24200127851620962,15,14,1,551,577
degraded,14,294,0.011204118529955545,0.24372251408707457,15,15,1,551,577
degraded,15,315,0.01500358468010312,0.24605435582634527,15,15,1,551,577
degraded,16,336,0.010424816182681493,0.24765506168254292,15,15,1,551,577
degraded,17,357,0.00952529197647458,0.2488345812397221,15,15,1,551,577
degraded,18,378,0.013185200237092517,0.2501627166941314,15,15,1,551,577
degraded,19,399,0.01042417756148747,0.2518541541145308,15,15,1,551,577
degraded,20,420,0.009237427087057205,0.25309339554951293,15,15,1,551,577
degraded,21,441,0.009882755932353791,0.2545532340272285,15,15,1,551,577
degraded,22,462,0.007590293174698239,0.2559793939620319,15,15,1,551,577
degraded,23,483,0.009076128403345743,0.2573963772223439,15,15,1,551,577
degraded,24,504,0.008691440735544478,0.25856345635055245,15,15,1,551,577
degraded,25,525,0.00643467264516013,0.2593621471365063,15,15,1,551,577
degraded,26,546,0.0062449538991564794,0.26006905654671403,15,15,1,550,577
degraded,27,567,0.008546702918552217,0.26107437256107985,15,15,1,549,577
degraded,28,588,0.006908927645002093,0.26182030948928936,15,15,1,549,577
